session_key,driver_number,lap_number,duration
9912,5,20,26.143
9912,63,27,25.021
9912,12,28,24.916
9912,55,30,24.605
9912,6,32,24.326
9912,16,33,24.235
9912,43,33,24.971
9912,1,37,24.545
9912,44,38,23.971
9912,23,41,24.717
9912,81,45,23.602
9912,4,46,27.498
9912,10,49,25.012
9912,18,49,38.418
9912,31,51,30.754
9904,31,1,20.691
9904,23,1,20.758
9904,31,2,20.759
9904,23,15,20.489
9904,43,16,21.088
9904,12,18,20.669
9904,16,19,20.5
9904,30,20,20.283
9904,14,21,25.768
9904,5,26,20.845
9904,55,27,20.508
9904,87,28,21.194
9904,6,29,20.294
9904,10,35,21.5
9904,44,36,20.062
9904,27,36,19.97
9904,4,37,21.975
9904,18,37,21.82
9904,22,38,20.323
9904,63,39,19.809
9904,1,40,20.221
9896,22,13,24.61
9896,5,13,32.856
9896,43,14,24.04
9896,1,19,24.008
9896,6,20,23.827
9896,16,21,23.63
9896,87,23,23.979
9896,44,24,24.794
9896,10,24,25.583
9896,63,25,23.966
9896,12,25,23.806
9896,27,25,24.1
9896,4,26,23.314
9896,81,27,26.637
9896,14,27,30.749
9896,31,30,25.078
9896,18,38,24.012
9896,23,42,25.732
9896,27,44,31.8
9896,44,46,23.344
9896,30,48,24.027
9896,55,50,24.075
9896,10,51,25.188
9888,23,7,23.763
9888,5,14,25.567
9888,16,22,23.718
9888,31,24,25.06
9888,10,27,26.631
9888,18,28,24.192
9888,6,28,23.831
9888,22,29,24.539
9888,81,30,23.452
9888,87,30,24.11
9888,14,30,24.054
9888,30,30,23.681
9888,44,31,23.937
9888,12,31,23.949
9888,4,32,24.58
9888,43,32,24.045
9888,1,33,23.987
9888,63,33,23.555
9888,27,33,23.753
9888,23,36,24.582
9888,5,36,24.007
9877,30,2,34.212
9877,55,17,22.502
9877,14,20,26.816
9877,12,22,22.476
9877,44,23,33.308
9877,87,24,22.647
9877,81,24,23.211
9877,63,25,22.347
9877,18,26,22.071
9877,31,27,23.203
9877,16,31,22.215
9877,10,33,22.834
9877,4,34,22.567
9877,6,34,22.196
9877,22,36,31.63
9877,1,37,22.762
9877,5,37,22.41
9877,23,41,22.04
9877,18,43,23.713
9877,55,46,30.5
9877,81,47,22.159
9877,12,47,24.523
9877,44,47,23.342
9877,87,48,22.174
9877,63,48,22.47
9877,43,48,22.789
9877,55,56,17.9
9869,22,2,22.974
9869,44,2,40.076
9869,1,7,23.197
9869,31,8,24.204
9869,44,14,23.426
9869,87,17,23.748
9869,55,17,26.064
9869,6,18,23.708
9869,10,18,23.673
9869,30,19,22.899
9869,12,21,23.356
9869,22,24,34.185
9869,14,28,23.942
9869,43,29,23.71
9869,18,29,23.76
9869,4,30,23.49
9869,44,32,30.752
9869,63,34,23.358
9869,1,34,23.058
9869,23,35,23.061
9869,27,36,23.0
9869,6,37,23.46
9869,81,38,34.644
9869,55,38,23.234
9869,10,39,23.648
9869,87,42,24.654
9869,43,43,26.124
9869,14,46,23.563
9869,12,47,23.401
9869,31,47,24.177
9869,22,47,33.841
9869,63,48,23.128
9869,4,50,23.238
9869,81,51,23.113
9869,1,54,23.311
9869,18,54,22.968
9869,23,55,23.112
9858,22,1,21.383
9858,5,1,33.23
9858,12,2,21.968
9858,10,2,23.903
9858,30,2,32.736
9858,23,13,23.361
9858,23,14,30.065
9858,14,16,21.068
9858,63,17,20.929
9858,87,17,21.491
9858,6,20,21.324
9858,81,21,21.371
9858,4,22,21.049
9858,55,22,21.164
9858,16,24,21.351
9858,1,25,21.708
9858,43,25,22.842
9858,31,27,22.389
9858,22,27,20.68
9858,30,28,21.287
9858,44,29,21.638
9858,27,30,22.3
9858,23,34,29.308
9850,1,7,29.97
9850,55,7,28.56
9850,12,7,32.002
9850,14,7,28.288
9850,6,7,28.815
9850,63,7,33.241
9850,16,7,30.395
9850,87,7,28.837
9850,30,7,28.993
9850,22,7,29.188
9850,23,7,28.89
9850,44,7,32.166
9850,5,7,28.471
9850,18,7,28.124
9850,43,7,29.538
9850,10,7,31.343
9850,31,8,34.006
9850,31,9,34.54
9850,81,24,29.047
9850,18,24,28.064
9850,4,25,27.938
9850,1,32,28.168
9850,55,32,28.181
9850,12,32,28.544
9850,14,32,28.935
9850,6,32,27.931
9850,63,32,29.077
9850,16,32,28.999
9850,30,32,28.078
9850,22,32,28.33
9850,23,32,29.457
9850,44,32,28.541
9850,5,32,28.234
9850,43,32,28.942
9850,87,32,45.232
9850,10,32,30.559
9850,31,34,30.469
9850,87,40,37.513
9850,81,42,27.853
9850,4,44,28.243
9850,18,49,35.671
9839,27,7,21.6
9839,44,8,21.601
9839,23,8,21.551
9839,10,13,22.585
9839,63,14,21.979
9839,6,14,21.932
9839,87,14,22.263
9839,5,15,22.121
9839,43,15,21.953
9839,4,16,21.323
9839,16,16,21.692
9839,14,16,23.267
9839,55,18,21.799
9839,31,19,22.254
9839,30,21,28.369
9839,1,23,21.703
9839,44,31,21.417
9839,22,32,27.041
9839,12,32,22.155
9839,23,33,21.495
9839,16,39,20.902
9839,4,40,21.407
9839,10,40,22.234
9839,43,40,22.955
9839,81,41,21.565
9839,18,42,21.535
9839,27,42,21.468
